444 | 2026-03-11 19:25:15,909 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:16,006 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:16,194 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:16,671 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:16,683 | uber | INFO | MainThread | Starting table creation
444 | 2026-03-11 19:25:16,737 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:16,747 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:16,762 | uber | INFO | MainThread | All tables checked/created successfully
498 | 2026-03-11 19:25:16,766 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,004 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,013 | uber | INFO | MainThread | Starting table creation
444 | 2026-03-11 19:25:15,910 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,021 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,030 | uber | INFO | MainThread | All tables checked/created successfully
498 | 2026-03-11 19:25:17,044 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,204 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,217 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,233 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,636 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,645 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,663 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,684 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,691 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,704 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,765 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,773 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,784 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,782 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,790 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,801 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:17,803 | uber | INFO | MainThread | Database connection established
463 | 2026-03-11 19:25:17,812 | uber | INFO | MainThread | Starting table creation
498 | 2026-03-11 19:25:17,824 | uber | INFO | MainThread | All tables checked/created successfully
444 | 2026-03-11 19:25:22,643 | uber | INFO | MainThread | Database connection established
540 | 2026-03-11 19:25:22,645 | uber | INFO | MainThread | Starting batch processing total_records=7
444 | 2026-03-11 19:25:22,769 | uber | INFO | Thread-1 (fun1) | Database connection established
552 | 2026-03-11 19:25:22,802 | uber | INFO | MainThread | Completed batch processing threads=1
632 | 2026-03-11 19:25:22,803 | uber | INFO | MainThread | Parent batches executed count=1
540 | 2026-03-11 19:25:22,804 | uber | INFO | MainThread | Starting batch processing total_records=0
552 | 2026-03-11 19:25:22,805 | uber | INFO | MainThread | Completed batch processing threads=0
